,Method,Subject,Accelorometer Axis,Average Degree,Network Diameter,Average Path Length,Activity,Body Part
0,NVG,1,x,11.45117188,10,4.441492165,Walking,chest
1,HVG,1,x,3.958984375,26,11.57802381,Walking,chest
2,NVG,1,y,11.98632812,9,4.241049609,Walking,chest
3,HVG,1,y,3.951171875,22,10.66625237,Walking,chest
4,NVG,1,z,8.5703125,10,4.897721545,Walking,chest
5,HVG,1,z,3.95703125,23,10.60229564,Walking,chest
6,NVG,1,x,8.4140625,9,4.307644871,Running,chest
7,HVG,1,x,3.962890625,22,7.54384317,Running,chest
8,NVG,1,y,11.13671875,82,28.65194854,Running,chest
9,HVG,1,y,3.8359375,90,31.63492218,Running,chest
10,NVG,1,z,8.318359375,11,4.644368967,Running,chest
11,HVG,1,z,3.96484375,19,8.726860337,Running,chest
12,NVG,1,x,15.37695312,7,3.882823955,Climbing Up,chest
13,HVG,1,x,3.95703125,35,15.40990423,Climbing Up,chest
14,NVG,1,y,16.328125,11,4.481325987,Climbing Up,chest
15,HVG,1,y,3.951171875,33,14.3845117,Climbing Up,chest
16,NVG,1,z,9.95703125,10,4.634183315,Climbing Up,chest
17,HVG,1,z,3.953125,30,11.05644207,Climbing Up,chest
18,NVG,1,x,15.609375,16,6.598815142,Climbing Down,chest
19,HVG,1,x,3.951171875,32,14.51088442,Climbing Down,chest
20,NVG,1,y,14.08789062,10,4.261783663,Climbing Down,chest
21,HVG,1,y,3.947265625,28,12.51864156,Climbing Down,chest
22,NVG,1,z,9.5625,9,4.428011211,Climbing Down,chest
23,HVG,1,z,3.96875,23,9.949155746,Climbing Down,chest
24,NVG,2,x,10.84375,12,4.565854487,Walking,chest
25,HVG,2,x,3.943359375,26,10.55252054,Walking,chest
26,NVG,2,y,14.85546875,11,4.641222584,Walking,chest
27,HVG,2,y,3.9453125,33,12.66916583,Walking,chest
28,NVG,2,z,9.08984375,11,4.405324032,Walking,chest
29,HVG,2,z,3.947265625,25,8.433803763,Walking,chest
30,NVG,2,x,9.69921875,11,5.32783289,Running,chest
31,HVG,2,x,3.9609375,21,8.862074627,Running,chest
32,NVG,2,y,9.51171875,253,86.24314592,Running,chest
33,HVG,2,y,3.4921875,259,89.09080027,Running,chest
34,NVG,2,z,6.6015625,11,4.92250695,Running,chest
35,HVG,2,z,3.970703125,20,8.85001031,Running,chest
36,NVG,2,x,11.9296875,10,4.195253314,Climbing Up,chest
37,HVG,2,x,3.958984375,27,11.73300037,Climbing Up,chest
38,NVG,2,y,13.9453125,10,4.869543469,Climbing Up,chest
39,HVG,2,y,3.953125,30,12.88997205,Climbing Up,chest
40,NVG,2,z,8.46484375,16,5.004217452,Climbing Up,chest
41,HVG,2,z,3.947265625,33,10.57326796,Climbing Up,chest
42,NVG,2,x,9.7421875,10,4.151087488,Climbing Down,chest
43,HVG,2,x,3.96484375,24,10.55400782,Climbing Down,chest
44,NVG,2,y,11.640625,42,14.56197688,Climbing Down,chest
45,HVG,2,y,3.912109375,56,19.71293072,Climbing Down,chest
46,NVG,2,z,7.658203125,12,5.258291712,Climbing Down,chest
47,HVG,2,z,3.953125,25,10.35436332,Climbing Down,chest
48,NVG,3,x,12.93359375,11,4.573460792,Walking,chest
49,HVG,3,x,3.955078125,27,12.85233382,Walking,chest
50,NVG,3,y,17.68554688,9,4.431776179,Walking,chest
51,HVG,3,y,3.962890625,30,13.8255132,Walking,chest
52,NVG,3,z,8.498046875,13,4.867174136,Walking,chest
53,HVG,3,z,3.943359375,25,8.444413261,Walking,chest
54,NVG,3,x,9.875,10,4.673392824,Running,chest
55,HVG,3,x,3.95703125,21,8.99599638,Running,chest
56,NVG,3,y,9.56640625,265,88.81217352,Running,chest
57,HVG,3,y,3.466796875,275,91.51935178,Running,chest
58,NVG,3,z,6.91796875,8,4.720361376,Running,chest
59,HVG,3,z,3.982421875,16,7.501135982,Running,chest
60,NVG,3,x,10.85742187,10,4.468223057,Climbing Up,chest
61,HVG,3,x,3.943359375,30,12.23989835,Climbing Up,chest
62,NVG,3,y,17.36328125,11,4.530917797,Climbing Up,chest
63,HVG,3,y,3.943359375,35,14.19499939,Climbing Up,chest
64,NVG,3,z,9.5625,15,4.806023949,Climbing Up,chest
65,HVG,3,z,3.93359375,34,12.2868669,Climbing Up,chest
