,Subject,Accelorometer Axis,Signal Length,Dimension,Delay,Permutation Entropy,Complexity,Activity,Body Part
0,1.0,x,1024.0,3.0,1.0,0.8359313536607399,0.13348370718740782,Walking,chest
1,1.0,x,2048.0,3.0,1.0,0.826848879564004,0.1395702959948963,Walking,chest
2,1.0,x,4096.0,3.0,1.0,0.8185313535569791,0.1450751559790473,Walking,chest
3,1.0,x,1024.0,3.0,2.0,0.9614748940082343,0.035904100241287734,Walking,chest
4,1.0,x,2048.0,3.0,2.0,0.954491541059176,0.04204876242014699,Walking,chest
5,1.0,x,4096.0,3.0,2.0,0.9553526480901766,0.04109291970617136,Walking,chest
6,1.0,x,1024.0,3.0,3.0,0.9868601260246402,0.012651569480132572,Walking,chest
7,1.0,x,2048.0,3.0,3.0,0.988015858878406,0.0115736277246286,Walking,chest
8,1.0,x,4096.0,3.0,3.0,0.992203228631835,0.007552305854670065,Walking,chest
9,1.0,x,1024.0,4.0,1.0,0.7661894644499043,0.22611056495056817,Walking,chest
10,1.0,x,2048.0,4.0,1.0,0.7543942775995348,0.23232089090792374,Walking,chest
11,1.0,x,4096.0,4.0,1.0,0.7426359018919965,0.23963932957732326,Walking,chest
12,1.0,x,1024.0,4.0,2.0,0.931093871895547,0.08718509427264179,Walking,chest
13,1.0,x,2048.0,4.0,2.0,0.9203789632263014,0.09883915624036432,Walking,chest
14,1.0,x,4096.0,4.0,2.0,0.9220475606606107,0.09697030389002347,Walking,chest
15,1.0,x,1024.0,4.0,3.0,0.9496706020804445,0.0652079264058084,Walking,chest
16,1.0,x,2048.0,4.0,3.0,0.9480802584367327,0.06887339905565097,Walking,chest
17,1.0,x,4096.0,4.0,3.0,0.9619223493812253,0.05103970548217618,Walking,chest
18,1.0,x,1024.0,5.0,1.0,0.7237181645065466,0.323374919889255,Walking,chest
19,1.0,x,2048.0,5.0,1.0,0.7124679566719829,0.324012615591817,Walking,chest
20,1.0,x,4096.0,5.0,1.0,0.7027844622365138,0.32716076602961736,Walking,chest
21,1.0,x,1024.0,5.0,2.0,0.8800458292873203,0.19475036623579345,Walking,chest
22,1.0,x,2048.0,5.0,2.0,0.8691938331097784,0.2065755361762472,Walking,chest
23,1.0,x,4096.0,5.0,2.0,0.8787691561245121,0.1946547028373083,Walking,chest
24,1.0,x,1024.0,5.0,3.0,0.8937532948614055,0.1767722867173971,Walking,chest
25,1.0,x,2048.0,5.0,3.0,0.9000801266945646,0.1660772766288064,Walking,chest
26,1.0,x,4096.0,5.0,3.0,0.9221384408282128,0.13362432436250854,Walking,chest
27,1.0,x,1024.0,6.0,1.0,0.6841024302907079,0.43208293206424997,Walking,chest
28,1.0,x,2048.0,6.0,1.0,0.6803941912207315,0.41983144865302374,Walking,chest
29,1.0,x,4096.0,6.0,1.0,0.6749797298204656,0.4127952841158547,Walking,chest
30,1.0,x,1024.0,6.0,2.0,0.8087860599458511,0.3628831108537588,Walking,chest
31,1.0,x,2048.0,6.0,2.0,0.8096767729983149,0.35282725568289064,Walking,chest
32,1.0,x,4096.0,6.0,2.0,0.8295568949105254,0.3269309628702636,Walking,chest
33,1.0,x,1024.0,6.0,3.0,0.8150086165878788,0.36637501170216125,Walking,chest
34,1.0,x,2048.0,6.0,3.0,0.8362217563581574,0.32972164582105373,Walking,chest
35,1.0,x,4096.0,6.0,3.0,0.8652310377223394,0.27864502271934566,Walking,chest
36,1.0,y,1024.0,3.0,1.0,0.7780952779246245,0.1665165007412537,Walking,chest
37,1.0,y,2048.0,3.0,1.0,0.7636435841411038,0.1742820815209257,Walking,chest
38,1.0,y,4096.0,3.0,1.0,0.7486575477904107,0.18230437502961244,Walking,chest
39,1.0,y,1024.0,3.0,2.0,0.9099970527807196,0.07526142982230923,Walking,chest
40,1.0,y,2048.0,3.0,2.0,0.8924826966199688,0.08793682371703535,Walking,chest
41,1.0,y,4096.0,3.0,2.0,0.876934379900437,0.09943890753183186,Walking,chest
42,1.0,y,1024.0,3.0,3.0,0.9406174661419117,0.050806131893048466,Walking,chest
43,1.0,y,2048.0,3.0,3.0,0.9322795038096863,0.05697630016277483,Walking,chest
44,1.0,y,4096.0,3.0,3.0,0.9222046400783499,0.06493150877037748,Walking,chest
45,1.0,y,1024.0,4.0,1.0,0.6873040967046848,0.26307513377985275,Walking,chest
46,1.0,y,2048.0,4.0,1.0,0.6749150846488012,0.2625345489112866,Walking,chest
47,1.0,y,4096.0,4.0,1.0,0.6600448566750167,0.26226321299427835,Walking,chest
48,1.0,y,1024.0,4.0,2.0,0.844508229025985,0.17177885574472998,Walking,chest
49,1.0,y,2048.0,4.0,2.0,0.8270659001504927,0.18283643953386872,Walking,chest
50,1.0,y,4096.0,4.0,2.0,0.8077437269214752,0.19608852829735626,Walking,chest
51,1.0,y,1024.0,4.0,3.0,0.8990044321337249,0.10709449883237931,Walking,chest
52,1.0,y,2048.0,4.0,3.0,0.8845718306914595,0.12048927406829142,Walking,chest
53,1.0,y,4096.0,4.0,3.0,0.8681194743655941,0.13665898647271535,Walking,chest
54,1.0,y,1024.0,5.0,1.0,0.630840162712359,0.3550343986471856,Walking,chest
55,1.0,y,2048.0,5.0,1.0,0.6197059820398714,0.3494843854753419,Walking,chest
56,1.0,y,4096.0,5.0,1.0,0.6074725113428899,0.34028359986680246,Walking,chest
57,1.0,y,1024.0,5.0,2.0,0.7923113364246595,0.2721501981221737,Walking,chest
58,1.0,y,2048.0,5.0,2.0,0.7745662566822024,0.2754509322298895,Walking,chest
59,1.0,y,4096.0,5.0,2.0,0.7569975293104537,0.28416917130696956,Walking,chest
60,1.0,y,1024.0,5.0,3.0,0.8606963653588872,0.1977036486227145,Walking,chest
61,1.0,y,2048.0,5.0,3.0,0.8458480319713594,0.21235023764019764,Walking,chest
62,1.0,y,4096.0,5.0,3.0,0.8301373654184112,0.22838226030913475,Walking,chest
63,1.0,y,1024.0,6.0,1.0,0.5897257167226526,0.4355816503772946,Walking,chest
64,1.0,y,2048.0,6.0,1.0,0.5798811620520937,0.4246666464137412,Walking,chest
65,1.0,y,4096.0,6.0,1.0,0.5698081250770926,0.40847647927944425,Walking,chest
66,1.0,y,1024.0,6.0,2.0,0.7303518591719792,0.40881840714290085,Walking,chest
67,1.0,y,2048.0,6.0,2.0,0.7216865235746044,0.39294037585873787,Walking,chest
68,1.0,y,4096.0,6.0,2.0,0.7094907384405156,0.39116353248300256,Walking,chest
69,1.0,y,1024.0,6.0,3.0,0.8003867617858703,0.36888781084891037,Walking,chest
70,1.0,y,2048.0,6.0,3.0,0.7946183882682345,0.3577774998093115,Walking,chest
71,1.0,y,4096.0,6.0,3.0,0.7778274595959672,0.3599212740929284,Walking,chest
72,1.0,z,1024.0,3.0,1.0,0.8856656907692442,0.09720511353980468,Walking,chest
73,1.0,z,2048.0,3.0,1.0,0.8823438522296067,0.0996743802126928,Walking,chest
74,1.0,z,4096.0,3.0,1.0,0.8766874213300263,0.10391613093742633,Walking,chest
75,1.0,z,1024.0,3.0,2.0,0.975169818624512,0.022975952069705284,Walking,chest
76,1.0,z,2048.0,3.0,2.0,0.9765780558711407,0.021880123259278114,Walking,chest
77,1.0,z,4096.0,3.0,2.0,0.979604415240082,0.019130128068370455,Walking,chest
78,1.0,z,1024.0,3.0,3.0,0.9910109011755771,0.008616151180374426,Walking,chest
79,1.0,z,2048.0,3.0,3.0,0.9900739016808849,0.009610536371024261,Walking,chest
80,1.0,z,4096.0,3.0,3.0,0.9891897312677562,0.01076810787628914,Walking,chest
81,1.0,z,1024.0,4.0,1.0,0.8271871407044836,0.1807905177890132,Walking,chest
82,1.0,z,2048.0,4.0,1.0,0.8242045560039962,0.18420584687687996,Walking,chest
83,1.0,z,4096.0,4.0,1.0,0.8175934779275639,0.1911815687715465,Walking,chest
84,1.0,z,1024.0,4.0,2.0,0.9586743415856962,0.05180604664828972,Walking,chest
85,1.0,z,2048.0,4.0,2.0,0.9578511854608679,0.05352511296581853,Walking,chest
86,1.0,z,4096.0,4.0,2.0,0.9564452827589305,0.05588537450720821,Walking,chest
87,1.0,z,1024.0,4.0,3.0,0.9736433654214297,0.03291563826324278,Walking,chest
88,1.0,z,2048.0,4.0,3.0,0.9711113802644818,0.03652981104516772,Walking,chest
89,1.0,z,4096.0,4.0,3.0,0.9726841903870448,0.03480286739265048,Walking,chest
90,1.0,z,1024.0,5.0,1.0,0.7862357040193172,0.27441737154668433,Walking,chest
91,1.0,z,2048.0,5.0,1.0,0.7893253247440039,0.26868517075723664,Walking,chest
